TÍTULO,USO QUE AMPARA EL TÍTULO,TITULAR,FECHA DE REGISTRO,AUTORIDAD QUE EMITE EL ACTO
814997,AGR͍COLA,JOSE RAMON AGUIÑAGA VAZQUEZ,2020-04-17,DIRECCIÓN LOCAL GUANAJUATO
814998,AGR͍COLA,BRENDA AGUIÑAGA VAZQUEZ,2020-04-17,DIRECCIÓN LOCAL GUANAJUATO
814999,AGR͍COLA,BRENDA AGUIÑAGA VAZQUEZ,2020-04-17,DIRECCIÓN LOCAL GUANAJUATO
815008,AGR͍COLA,UNIDAD DE RIEGO LA REFORMA,2019-11-04,ORGANISMO DE CUENCA CUENCAS CENTRALES DEL NORTE
815021,AGR͍COLA,"UNIDAD DE RIEGO ""RANCHITO JARAL Y CARRIZO""",2020-06-26,DIRECCIÓN LOCAL CHIHUAHUA
815028,PECUARIO,LOYD ALFREDO MELING SOTO,2019-11-25,ORGANISMO DE CUENCA PENÍNSULA DE BAJA CALIFORNIA
815038,PÚBLICO URBANO,"MUNICIPIO DE SENGUIO, MICHOACAN",2019-10-11,DIRECCIÓN LOCAL MICHOACÁN
815041,PECUARIO,LOYD ALFREDO MELING SOTO,2020-01-06,ORGANISMO DE CUENCA PENÍNSULA DE BAJA CALIFORNIA
815061,PECUARIO,LOYD ALFREDO MELING SOTO,2021-07-23,ORGANISMO DE CUENCA PENÍNSULA DE BAJA CALIFORNIA
815119,PECUARIO,"JOSE LUIS NEVAREZ FAVELA, HERMENEGILDO NEVAREZ FAVELA",2020-04-30,OFICINAS CENTRALES
815160,AGR͍COLA,"MARTINA ZAVALA MAGAÑA, MARINA ARREGUIN AGUILAR",2019-11-11,DIRECCIÓN LOCAL MICHOACÁN
815165,AGR͍COLA,POMPOSO REYMUNDO AGUILERA CARRERA,2019-11-21,DIRECCIÓN LOCAL DURANGO
815176,AGR͍COLA,"RANCHO EL ESLABON, S.P.R. DE R.L. DE C.V.",2020-05-04,DIRECCIÓN LOCAL CHIHUAHUA
815179,DIFERENTES USOS,MODESTO MORENO OLIVAS,2019-11-20,DIRECCIÓN LOCAL DURANGO
815214,PÚBLICO URBANO,MUNICIPIO DE TEPEHUACAN DE GUERRERO,2019-10-22,DIRECCIÓN LOCAL HIDALGO
815239,DIFERENTES USOS,EJIDO LLANO LARGO,2020-09-09,DIRECCIÓN LOCAL HIDALGO
815250,AGR͍COLA,ELVA ESCOBAR PADILLA,2020-07-07,ORGANISMO DE CUENCA PACÍFICO NORTE
815251,AGR͍COLA,BASILIA GONZALEZ PIÑA,2020-05-18,ORGANISMO DE CUENCA PACÍFICO NORTE
815294,PÚBLICO URBANO,MUNICIPIO DE LOLOTLA,2020-11-19,DIRECCIÓN LOCAL HIDALGO
815296,DIFERENTES USOS,MOISES VILLALOBOS SILVA,2019-11-27,DIRECCIÓN LOCAL DURANGO
815314,PECUARIO,JUAN MANUEL CARRANZA PRECIADO,2020-01-10,ORGANISMO DE CUENCA NOROESTE
815316,PÚBLICO URBANO,MUNICIPIO DE TLAHUILTEPA,2020-09-01,DIRECCIÓN LOCAL HIDALGO
815317,AGR͍COLA,GUILLERMO ESTRADA GUERRA,2019-11-13,DIRECCIÓN LOCAL DURANGO
815321,AGR͍COLA,GUILLERMO ESTRADA GUERRA,2019-11-21,DIRECCIÓN LOCAL DURANGO
815324,ACUACULTURA,HECTOR GARDU¤O POSADAS,2019-11-29,DIRECCIÓN LOCAL ESTADO DE MÉXICO
815329,PECUARIO,EJIDO VILLA OCAMPO,2020-01-09,DIRECCIÓN LOCAL DURANGO
815345,ACUACULTURA,TRUCHAS EL CAÑON,2020-10-13,DIRECCIÓN LOCAL HIDALGO
815399,AGR͍COLA,HECTOR ROJAS YAÑEZ,2020-07-02,ORGANISMO DE CUENCA FRONTERA SUR
815421,PECUARIO,BLANCA ESTHELA ROMERO OSUNA,2020-11-26,DIRECCIÓN LOCAL BAJA CALIFORNIA SUR
815477,PECUARIO,HECTOR DE LA TOBA DUARTE,2020-03-31,ORGANISMO DE CUENCA PENÍNSULA DE BAJA CALIFORNIA
815478,PECUARIO,HECTOR DE LA TOBA DUARTE,2020-10-27,ORGANISMO DE CUENCA PENÍNSULA DE BAJA CALIFORNIA
815520,AGR͍COLA,JUAN MAQUEDA RANGEL,2020-08-31,DIRECCIÓN LOCAL HIDALGO
815521,PÚBLICO URBANO,MUNICIPIO DE TEPEHUACAN DE GUERRERO,2020-09-07,DIRECCIÓN LOCAL HIDALGO
815523,PÚBLICO URBANO,MUNICIPIO DE TEPEHUACAN DE GUERRERO,2020-08-29,DIRECCIÓN LOCAL HIDALGO
815524,AGR͍COLA,UNIDAD DE RIEGO EL VITE S.C. DE R.L. DE C.V.,2020-11-20,DIRECCIÓN LOCAL HIDALGO
815525,DIFERENTES USOS,EJIDO SAN JAVIER,2020-09-25,DIRECCIÓN LOCAL BAJA CALIFORNIA SUR
815597,AGR͍COLA,UNIDAD DE RIEGO PARA EL DESARROLLO RURAL ASOCIACION DE USUARIOS PRODUCTORES AGRICOLAS DE LA SECCION,2020-03-26,ORGANISMO DE CUENCA PACÍFICO NORTE
815600,AGR͍COLA,RAMON MENDEZ MARQUEZ,2019-11-21,DIRECCIÓN LOCAL SAN LUIS POTOSÍ
815603,PECUARIO,HECTOR DE LA TOBA DUARTE,2019-11-14,ORGANISMO DE CUENCA PENÍNSULA DE BAJA CALIFORNIA
815639,SERVICIOS,VICTOR VALDEZ ESCOBEDO,2020-01-16,DIRECCIÓN LOCAL DURANGO
815669,AGR͍COLA,MARGARITA LEBARON KUNZ,2020-04-03,ORGANISMO DE CUENCA NOROESTE
815723,DIFERENTES USOS,JORGE REFUGIO CHAVEZ CASTRO,2020-03-11,DIRECCIÓN LOCAL COLIMA
815771,AGR͍COLA,SERGIO VILLARREAL GUAJARDO,2019-11-27,ORGANISMO DE CUENCA RÍO BRAVO
815787,AGR͍COLA,"GANADERA SANTA CECILIA, S.A. DE C.V.",2020-02-17,DIRECCIÓN LOCAL SAN LUIS POTOSÍ
815794,PECUARIO,MANUEL SALVADOR GERARDO OSUNA,2020-12-11,DIRECCIÓN LOCAL BAJA CALIFORNIA SUR
815810,PECUARIO,SALVADOR OSUNA ROMERO,2020-11-26,DIRECCIÓN LOCAL BAJA CALIFORNIA SUR
815859,PECUARIO,EJIDO VILLA OCAMPO,2019-11-22,DIRECCIÓN LOCAL DURANGO
815897,PECUARIO,EJIDO VILLA OCAMPO,2020-04-20,DIRECCIÓN LOCAL DURANGO
815898,PECUARIO,RAUL QUIJANO OSUNA,2020-11-24,DIRECCIÓN LOCAL BAJA CALIFORNIA SUR
815915,INDUSTRIAL,INGENIO ALIANZA POPULAR S.A. DE C.V.,2019-12-23,DIRECCIÓN LOCAL SAN LUIS POTOSÍ
815932,AGR͍COLA,ETELBERTO ESCOBAR ALEGRIA,2020-07-08,ORGANISMO DE CUENCA FRONTERA SUR
815942,PECUARIO,MARIA MAGDALENA PEÑUÑURI SOTO,2020-01-10,ORGANISMO DE CUENCA NOROESTE
815949,PECUARIO,EJIDO VILLA OCAMPO,2020-04-17,DIRECCIÓN LOCAL DURANGO
815952,PECUARIO,MARIA MAGDALENA PEÑUÑURI SOTO,2020-01-10,ORGANISMO DE CUENCA NOROESTE
816003,AGR͍COLA,JOSE EDUARDO SANCHEZ MARTINEZ,2019-12-06,DIRECCIÓN LOCAL SAN LUIS POTOSÍ
816030,AGR͍COLA,"UNIDAD DE RIEGO SAN NICOLAS ZECALACOAYAN, S.P.R. DE R.I.",2020-11-20,DIRECCIÓN LOCAL PUEBLA
816050,AGR͍COLA,JESUS MA. QUINTANILLA CASANOVA,2020-08-13,ORGANISMO DE CUENCA GOLFO NORTE
816093,DIFERENTES USOS,SERGIO VIVEROS COLORADO,2020-02-07,ORGANISMO DE CUENCA GOLFO CENTRO
816137,AGR͍COLA,EMPORIO AGRICOLA TIERRA ETERNA S.A. DE C.V.,2019-12-03,DIRECCIÓN LOCAL SAN LUIS POTOSÍ
816139,AGR͍COLA,CELIO HUMBERTO RAMIREZ SANCHEZ,2020-01-03,DIRECCIÓN LOCAL SAN LUIS POTOSÍ
816141,ACUACULTURA,LORENZO QUIJADA CASTILLO,2019-12-04,DIRECCIÓN LOCAL ESTADO DE MÉXICO
816142,AGR͍COLA,MARTIN RIVERA FORNUE Y COPROPIETARIOS,2020-06-08,ORGANISMO DE CUENCA GOLFO NORTE
816155,AGR͍COLA,ESTHER GARCIA PADILLA,2020-05-07,ORGANISMO DE CUENCA GOLFO NORTE
816167,AGR͍COLA,ASOCIACION DE USUARIOS DE LA UNIDAD DE RIEGO LAS VEGAS DEL EJIDO SANTA ROSA MUNICIPIO DE GUEMEZ TAMA,2020-09-08,ORGANISMO DE CUENCA GOLFO NORTE
816169,AGR͍COLA,"RAFAEL GONZALEZ CHIO, RODRIGO GONZALEZ CHIO",2020-09-18,ORGANISMO DE CUENCA GOLFO NORTE
816170,SERVICIOS,FRANCISCO ERICK DEL CASTILLO CARDOZO,2019-12-02,DIRECCIÓN LOCAL SAN LUIS POTOSÍ
816175,DIFERENTES USOS,RAMON EDMUNDO RODRIGUEZ GARZA,2020-03-20,ORGANISMO DE CUENCA GOLFO NORTE
816176,AGR͍COLA,GENARO RUIZ ARRIAGA,2020-09-18,ORGANISMO DE CUENCA GOLFO NORTE
816183,DIFERENTES USOS,ROBERTO JAIME RODRIGUEZ GARZA,2020-03-10,ORGANISMO DE CUENCA GOLFO NORTE
816184,AGR͍COLA,YOLANDA CLOTILDE CERVERA HERRERA,2020-10-12,ORGANISMO DE CUENCA GOLFO NORTE
816185,AGR͍COLA,JAVIER MIGUEL CERVERA VELEZ,2020-10-07,ORGANISMO DE CUENCA GOLFO NORTE
816186,DIFERENTES USOS,RAUL RODRIGUEZ BARRERA,2020-03-11,ORGANISMO DE CUENCA GOLFO NORTE
816187,AGR͍COLA,JAVIER EDUARDO CERVERA HERRERA,2020-09-21,ORGANISMO DE CUENCA GOLFO NORTE
816192,AGR͍COLA,MANUEL VAZQUEZ CORDOVA,2020-05-20,ORGANISMO DE CUENCA GOLFO NORTE
816195,AGR͍COLA,JULIO BARRON ROMERO,2020-06-08,ORGANISMO DE CUENCA GOLFO NORTE
816196,DIFERENTES USOS,GERARDO DAVID EGGLETON ZU¤IGA,2019-12-12,DIRECCIÓN LOCAL SAN LUIS POTOSÍ
816197,DIFERENTES USOS,JULIO CESAR ALARCON POZOS,2019-12-12,DIRECCIÓN LOCAL SAN LUIS POTOSÍ
816218,AGR͍COLA,ARMANDO ABDERRAMAN GUZMAN FARIAS,2020-06-05,ORGANISMO DE CUENCA GOLFO NORTE
816227,AGR͍COLA,GILBERTO GARZA BUENTELLO,2020-06-09,ORGANISMO DE CUENCA GOLFO NORTE
816232,DIFERENTES USOS,"HORTALIZAS Y AGAVES LA TUNA, S.P.R. DE R.L. DE C.V.",2021-04-12,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
816247,PÚBLICO URBANO,"MUNICIPIO DE SAN PEDRO LAGUNILLAS, NAYARIT",2020-04-18,DIRECCIÓN LOCAL NAYARIT
816248,AGR͍COLA,MARIA DEL CARMEN BALLINA CERMEÑO,2021-03-24,ORGANISMO DE CUENCA GOLFO NORTE
816260,AGR͍COLA,MARIA DEL CARMEN BALLINA CERMEÑO,2021-03-25,ORGANISMO DE CUENCA GOLFO NORTE
816263,AGR͍COLA,ADAN MANUEL SUMANO RIOS,2020-02-27,ORGANISMO DE CUENCA PACÍFICO SUR
816270,AGR͍COLA,MARIA DEL CARMEN BALLINA CERMEÑO,2021-03-30,ORGANISMO DE CUENCA GOLFO NORTE
816271,AGR͍COLA,MARIA DEL CARMEN BALLINA CERMEÑO,2021-06-29,ORGANISMO DE CUENCA GOLFO NORTE
816273,PÚBLICO URBANO,MUNICIPIO DE IXTLAN DEL RIO NAYARIT,2020-08-21,DIRECCIÓN LOCAL NAYARIT
816280,AGR͍COLA,EJIDO OJO DE AGUA,2020-06-08,ORGANISMO DE CUENCA GOLFO NORTE
816326,AGR͍COLA,EJIDO SAN FRANCISCO,2020-06-10,ORGANISMO DE CUENCA GOLFO NORTE
816343,SERVICIOS,JESUS ANTONIO URUCHURTU Y MARROQUIN,2019-12-12,ORGANISMO DE CUENCA GOLFO CENTRO
816344,AGR͍COLA,"MARCELA SILVIA LLAMAS COSS Y LEON, AMBAR OROZCO LLAMAS, ELIECER OROZCO LLAMAS, JOSE CRUZ OROZCO LLAMAS, ANDREA OROZCO LLAMAS",2020-09-02,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
816358,PÚBLICO URBANO,"MUNICIPIO DE SAN PEDRO LAGUNILLAS, NAYARIT",2020-04-18,DIRECCIÓN LOCAL NAYARIT
816363,AGR͍COLA,EJIDO SAN FRANCISCO,2020-06-10,ORGANISMO DE CUENCA GOLFO NORTE
816364,AGR͍COLA,ALICIA CAMPOS LUCIO,2020-10-07,ORGANISMO DE CUENCA GOLFO NORTE
816380,AGR͍COLA,DENISSE VILLAFRANCA FRAGA,2020-06-10,ORGANISMO DE CUENCA GOLFO NORTE
816381,AGR͍COLA,ADRIAN JOSE CERVERA VELEZ,2020-09-28,ORGANISMO DE CUENCA GOLFO NORTE
816383,AGR͍COLA,ASOCIACION DE LAS AGUAS DEL RIO CHIQUITO A.C.,2019-12-16,ORGANISMO DE CUENCA PACÍFICO SUR
816385,PÚBLICO URBANO,"MUNICIPIO DE IXTLAN DEL RIO, NAYARIT",2019-12-19,DIRECCIÓN LOCAL NAYARIT
816387,PÚBLICO URBANO,"MUNICIPIO DE SAN PEDRO LAGUNILLAS, NAYARIT",2019-12-23,DIRECCIÓN LOCAL NAYARIT
816398,PECUARIO,EJIDO DERRAMADERO,2019-12-06,ORGANISMO DE CUENCA RÍO BRAVO
816402,AGR͍COLA,"UNIDAD DE RIEGO RANCHO BUENOS AIRES LOTE 1 Y 2 EL HIGO, VER., A.C.",2020-06-10,ORGANISMO DE CUENCA GOLFO NORTE
816417,AGR͍COLA,"ANDRES ARENA ELIZONDO, JORGE LUIS ARENA ELIZONDO, ROBERTO CARLOS ARENA ELIZONDO, MIGUEL ANGEL ARENA ELIZONDO, YOLANDA ARENA ELIZONDO",2020-01-06,DIRECCIÓN LOCAL GUANAJUATO
816424,AGR͍COLA,SANTOS PONCE TREJO,2020-07-27,ORGANISMO DE CUENCA GOLFO NORTE
816432,PECUARIO,EJIDO PILAR DE RICHARDSON,2020-07-08,ORGANISMO DE CUENCA RÍO BRAVO
816449,PÚBLICO URBANO,"MUNICIPIO DE AMATLAN DE CAÑAS, NAYARIT",2020-07-02,DIRECCIÓN LOCAL NAYARIT
816450,PÚBLICO URBANO,"MUNICIPIO DE SAN PEDRO LAGUNILLAS, NAYARIT",2020-09-21,DIRECCIÓN LOCAL NAYARIT
816451,PÚBLICO URBANO,"MUNICIPIO DE AMATLAN DE CAÑAS, NAY.",2020-02-24,DIRECCIÓN LOCAL NAYARIT
816452,PÚBLICO URBANO,MUNICIPIO DE TEPIC NAYARIT,2020-07-17,DIRECCIÓN LOCAL NAYARIT
816455,AGR͍COLA,ASOCIACION DE USUARIOS DE LA UNIDAD DE RIEGO PUNTA DE AGUA A. C.,2020-02-06,ORGANISMO DE CUENCA NOROESTE
816460,PECUARIO,GERARDO LUIS ADAME JENKINS,2020-07-30,ORGANISMO DE CUENCA GOLFO NORTE
816472,AGR͍COLA,RENE RAMIREZ VALDEZ,2020-07-08,ORGANISMO DE CUENCA GOLFO NORTE
816480,AGR͍COLA,ALEJANDRO MANUEL CAMBESES BALLINA,2021-04-05,ORGANISMO DE CUENCA GOLFO NORTE
816491,PÚBLICO URBANO,MUNICIPIO DE TEPIC NAYARIT,2020-02-24,DIRECCIÓN LOCAL NAYARIT
816496,PÚBLICO URBANO,MUNICIPIO DE TEPIC NAYARIT,2020-03-30,DIRECCIÓN LOCAL NAYARIT
816506,AGR͍COLA,LORENZO ENRIQUE NAVA CHARGOY,2021-03-31,ORGANISMO DE CUENCA GOLFO NORTE
816510,AGR͍COLA,HORTENCIA INFANTE MARTINEZ,2021-07-05,ORGANISMO DE CUENCA GOLFO NORTE
816511,AGR͍COLA,ESTHER GARCIA PADILLA,2020-07-08,ORGANISMO DE CUENCA GOLFO NORTE
816516,AGR͍COLA,ABIMAEL ORTIZ HERNANDEZ,2019-12-09,ORGANISMO DE CUENCA PACÍFICO SUR
816523,AGR͍COLA,ALFREDO FELIX GONZALEZ,2021-04-30,ORGANISMO DE CUENCA GOLFO NORTE
816529,AGR͍COLA,UNIDAD DE RIEGO EL GUARNIZ,2020-07-31,ORGANISMO DE CUENCA GOLFO NORTE
816530,PÚBLICO URBANO,MUNICIPIO DE TEPIC NAYARIT,2020-03-31,DIRECCIÓN LOCAL NAYARIT
816539,PÚBLICO URBANO,MUNICIPIO DE TEPIC NAYARIT,2020-08-27,DIRECCIÓN LOCAL NAYARIT
816542,PÚBLICO URBANO,MUNICIPIO DE TEPIC NAYARIT,2020-04-21,DIRECCIÓN LOCAL NAYARIT
816545,PÚBLICO URBANO,"MUNICIPIO DE SAN PEDRO LAGUNILLAS, NAYARIT",2020-04-20,DIRECCIÓN LOCAL NAYARIT
816551,AGR͍COLA,JOSE MARIA OJEDA CASTRO,2020-08-14,DIRECCIÓN LOCAL BAJA CALIFORNIA SUR
816553,PÚBLICO URBANO,"MUNICIPIO DE SAN PEDRO LAGUNILLAS, NAYARIT",2020-02-21,DIRECCIÓN LOCAL NAYARIT
816568,PÚBLICO URBANO,"MUNICIPIO DE AMATLAN DE CAÑAS, NAY.",2020-08-21,DIRECCIÓN LOCAL NAYARIT
816572,PÚBLICO URBANO,MUNICIPIO DE JALA NAYARIT,2020-04-14,DIRECCIÓN LOCAL NAYARIT
816573,PÚBLICO URBANO,MUNICIPIO DE TEPIC NAYARIT,2020-06-18,DIRECCIÓN LOCAL NAYARIT
816575,PÚBLICO URBANO,MUNICIPIO DE JALA NAYARIT,2020-05-18,DIRECCIÓN LOCAL NAYARIT
816576,PÚBLICO URBANO,"MUNICIPIO DE AMATLAN DE CAÑAS, NAY.",2020-07-20,DIRECCIÓN LOCAL NAYARIT
816577,PÚBLICO URBANO,"MUNICIPIO DE AMATLAN DE CAÑAS, NAY.",2020-04-20,DIRECCIÓN LOCAL NAYARIT
816578,PÚBLICO URBANO,MUNICIPIO DE JALA NAYARIT,2020-05-22,DIRECCIÓN LOCAL NAYARIT
816579,PÚBLICO URBANO,MUNICIPIO DE JALA NAYARIT,2020-03-03,DIRECCIÓN LOCAL NAYARIT
816585,PÚBLICO URBANO,"MUNICIPIO DE SAN PEDRO LAGUNILLAS, NAYARIT",2020-07-08,DIRECCIÓN LOCAL NAYARIT
816586,PÚBLICO URBANO,"MUNICIPIO DE AMATLAN DE CAÑAS, NAY.",2020-04-01,DIRECCIÓN LOCAL NAYARIT
816617,PÚBLICO URBANO,MUNICIPIO DE JALA NAYARIT,2020-02-26,DIRECCIÓN LOCAL NAYARIT
816619,PÚBLICO URBANO,MUNICIPIO DE JALA NAYARIT,2020-07-01,DIRECCIÓN LOCAL NAYARIT
816620,PÚBLICO URBANO,MUNICIPIO DE JALA NAYARIT,2020-09-18,DIRECCIÓN LOCAL NAYARIT
816621,PECUARIO,BLANCA ESTELA GONZALEZ FREGOSO,2019-12-12,ORGANISMO DE CUENCA PENÍNSULA DE BAJA CALIFORNIA
816642,AGR͍COLA,HOMERO CAMARGO RIVERA,2020-06-10,ORGANISMO DE CUENCA GOLFO NORTE
816666,AGR͍COLA,HECTOR LARA SALAZAR,2020-05-05,ORGANISMO DE CUENCA GOLFO NORTE
816674,PÚBLICO URBANO,MUNICIPIO DE JALA NAYARIT,2020-07-02,DIRECCIÓN LOCAL NAYARIT
816677,PÚBLICO URBANO,MUNICIPIO DE ACAPONETA NAYARIT,2020-08-31,DIRECCIÓN LOCAL NAYARIT
816680,PÚBLICO URBANO,MUNICIPIO DE ACAPONETA NAYARIT,2020-02-05,DIRECCIÓN LOCAL NAYARIT
816685,DIFERENTES USOS,EJIDO SAN JAVIER,2021-01-19,DIRECCIÓN LOCAL BAJA CALIFORNIA SUR
816690,AGR͍COLA,ASOCIACION DE USUARIOS DE LA UNIDAD DE RIEGO LA GARITA,2020-07-06,ORGANISMO DE CUENCA GOLFO NORTE
816691,AGR͍COLA,JUAN ANTONIO LARA FUENTES,2020-06-09,ORGANISMO DE CUENCA GOLFO NORTE
816729,AGR͍COLA,JOSE ARRIAGA NABOR,2020-07-10,ORGANISMO DE CUENCA GOLFO NORTE
816732,PÚBLICO URBANO,MUNICIPIO DE SANTIAGO IXCUINTLA NAYARIT,2020-01-09,DIRECCIÓN LOCAL NAYARIT
816734,PECUARIO,EJIDO VILLA OCAMPO,2020-01-20,DIRECCIÓN LOCAL DURANGO
816745,AGR͍COLA,ANTONIO MANUEL HUMAN ADAME,2020-08-18,ORGANISMO DE CUENCA GOLFO NORTE
816753,PECUARIO,EJIDO VILLA OCAMPO,2020-01-20,DIRECCIÓN LOCAL DURANGO
816761,PECUARIO,EJIDO VILLA OCAMPO,2020-01-17,DIRECCIÓN LOCAL DURANGO
816805,PECUARIO,EJIDO VILLA OCAMPO,2020-01-21,DIRECCIÓN LOCAL DURANGO
816810,AGR͍COLA,CLAUDIO HERMOSILLO SALGADO,2020-05-15,DIRECCIÓN LOCAL CHIHUAHUA
816812,PECUARIO,BLANCA ESTELA GONZALEZ FREGOSO,2019-12-16,ORGANISMO DE CUENCA PENÍNSULA DE BAJA CALIFORNIA
816875,PECUARIO,EJIDO VILLA OCAMPO,2020-04-20,DIRECCIÓN LOCAL DURANGO
816891,AGR͍COLA,JUAN VALENTIN AMADOR VARGAS Y COOPROPIETARIOS,2020-06-10,ORGANISMO DE CUENCA GOLFO NORTE
816895,PECUARIO,EJIDO VILLA OCAMPO,2020-03-17,DIRECCIÓN LOCAL DURANGO
816898,PECUARIO,EJIDO VILLA OCAMPO,2020-04-17,DIRECCIÓN LOCAL DURANGO
816909,AGR͍COLA,OSCAR SALINAS SALAS,2020-07-31,ORGANISMO DE CUENCA GOLFO NORTE
816942,PECUARIO,EJIDO VILLA OCAMPO,2020-04-20,DIRECCIÓN LOCAL DURANGO
817033,AGR͍COLA,SOCIEDAD DE PRODUCCION AGROPECUARIA FLOR DE MARIA SPR DE RL DE CV,2020-11-09,DIRECCIÓN LOCAL SAN LUIS POTOSÍ
817040,AGR͍COLA,"ANDRES ARENA ELIZONDO, JORGE LUIS ARENA ELIZONDO, ROBERTO CARLOS ARENA ELIZONDO, MIGUEL ANGEL ARENA ELIZONDO, YOLANDA ARENA ELIZONDO",2020-01-03,DIRECCIÓN LOCAL GUANAJUATO
817045,AGR͍COLA,"ANDRES ARENA ELIZONDO, JORGE LUIS ARENA ELIZONDO, ROBERTO CARLOS ARENA ELIZONDO, MIGUEL ANGEL ARENA ELIZONDO, YOLANDA ARENA ELIZONDO",2020-01-14,DIRECCIÓN LOCAL GUANAJUATO
817046,AGR͍COLA,"ANDRES ARENA ELIZONDO, JORGE LUIS ARENA ELIZONDO, ROBERTO CARLOS ARENA ELIZONDO, MIGUEL ANGEL ARENA ELIZONDO, YOLANDA ARENA ELIZONDO",2020-03-11,DIRECCIÓN LOCAL GUANAJUATO
817055,AGR͍COLA,"ANDRES ARENA ELIZONDO, JORGE LUIS ARENA ELIZONDO, ROBERTO CARLOS ARENA ELIZONDO, MIGUEL ANGEL ARENA ELIZONDO, YOLANDA ARENA ELIZONDO",2020-01-07,DIRECCIÓN LOCAL GUANAJUATO
817057,AGR͍COLA,"ANDRES ARENA ELIZONDO, JORGE LUIS ARENA ELIZONDO, ROBERTO CARLOS ARENA ELIZONDO, MIGUEL ANGEL ARENA ELIZONDO, YOLANDA ARENA ELIZONDO",2020-01-03,DIRECCIÓN LOCAL GUANAJUATO
817066,PÚBLICO URBANO,MUNICIPIO DE IXMIQUILPAN,2020-11-11,DIRECCIÓN LOCAL HIDALGO
817104,PÚBLICO URBANO,MUNICIPIO DE IXMIQUILPAN,2019-12-30,DIRECCIÓN LOCAL HIDALGO
817135,AGR͍COLA,"CLAUDIO HUMBERTO LOPEZ MUÑOZ, JOSE DE JESUS LOPEZ MUÑOZ, LUISA LOPEZ MUÑOZ, LILIA GRACIELA LOPEZ MUÑOZ, EMMA ANGELICA LOPEZ MUÑOZ, IRMA ROSALIA LOPEZ MUÑOZ, HECTOR MANUEL LOPEZ MUÑOZ, NORA PATRICIA LOPEZ MUÑOZ, JORGE ALEJANDRO LOPEZ MUÑOZ, JORGE ALBERTO",2021-08-11,DIRECCIÓN LOCAL AGUASCALIENTES
817363,AGR͍COLA,FRANCISCA GONZALEZ,2020-04-28,ORGANISMO DE CUENCA PACÍFICO SUR
817365,AGR͍COLA,FORTINO SANTOS SANTOS,2020-01-21,ORGANISMO DE CUENCA PACÍFICO SUR
817370,ACUACULTURA,ALBERTO NAJERA PEREZ,2020-02-24,DIRECCIÓN LOCAL PUEBLA
817372,AGR͍COLA,ATANASIO ALEJANDRO BAÑOS HERRERA,2021-03-12,ORGANISMO DE CUENCA PACÍFICO SUR
817379,AGR͍COLA,FELIX LUIS ROJAS,2020-02-17,ORGANISMO DE CUENCA PACÍFICO SUR
817386,AGR͍COLA,LINO PEDRO VERONICA CRUZ,2020-02-18,ORGANISMO DE CUENCA PACÍFICO SUR
817430,AGR͍COLA,DANIEL HERRERA HERNANDEZ,2020-01-24,ORGANISMO DE CUENCA PACÍFICO SUR
817480,AGR͍COLA,RAFAEL MARTIN CAMACHO BUSTOS,2020-01-21,ORGANISMO DE CUENCA PACÍFICO SUR
817554,AGR͍COLA,"MARIA IMELDA AMBRIZ TORRES, JOSE TRINIDAD GARCIA CARBAJAL, MANUEL GARCIA CARBAJAL",2020-05-12,DIRECCIÓN LOCAL MICHOACÁN
817618,AGR͍COLA,ELIUD DICOCHEA ORTEGA,2020-04-22,ORGANISMO DE CUENCA NOROESTE
817657,AGR͍COLA,JOSE MARIA ZEPEDA HERNANDEZ,2020-06-17,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
817723,AGR͍COLA,"ECAPATLA, SOCIEDAD DE PRODUCCION RURAL DE RESPONSABILIDAD ILIMITADA",2020-02-06,DIRECCIÓN LOCAL PUEBLA
817837,PECUARIO,EJIDO JUAN B. CEBALLOS,2020-04-20,DIRECCIÓN LOCAL DURANGO
817841,AGR͍COLA,RICARDO WISBRUN TERRAZAS,2020-02-19,DIRECCIÓN LOCAL CHIHUAHUA
817848,DIFERENTES USOS,ANIBAL HERRERA ESCOBAR,2021-05-07,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
817851,PECUARIO,EJIDO JUAN B. CEBALLOS,2020-04-20,DIRECCIÓN LOCAL DURANGO
817854,PECUARIO,EJIDO JUAN B. CEBALLOS,2020-04-20,DIRECCIÓN LOCAL DURANGO
817859,PECUARIO,EJIDO JUAN B. CEBALLOS,2020-02-18,DIRECCIÓN LOCAL DURANGO
817875,PECUARIO,EJIDO IGNACIO ZARAGOZA,2020-03-17,DIRECCIÓN LOCAL DURANGO
817889,AGR͍COLA,TELESFORA GRAJALES CORDOBA,2020-01-31,ORGANISMO DE CUENCA GOLFO CENTRO
817901,PECUARIO,EJIDO JUAN B. CEBALLOS,2020-02-14,DIRECCIÓN LOCAL DURANGO
817903,PÚBLICO URBANO,COMISION DEL AGUA DEL ESTADO DE VERACRUZ,2020-05-08,ORGANISMO DE CUENCA GOLFO CENTRO
817908,AGR͍COLA,"UNION DE USUARIOS DE RIEGO DE SAN MARTIN ZACATEMPA, S.P.R. DE R.I.",2020-04-14,DIRECCIÓN LOCAL PUEBLA
817910,PECUARIO,EJIDO IGNACIO ZARAGOZA,2020-04-20,DIRECCIÓN LOCAL DURANGO
